"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP"
"525","A.J. Greer","N.J","L","9","70.45","1","1","0","1","2","66.67"
"541","Nick Merkley","S.J","R","9","98.966666666667","1","1","1","0","2","50.00"
"545","Noah Juulsen","VAN","D","8","104.28333333333","0","2","1","1","2","66.67"
"601","Lane Pederson","S.J","C","29","281.28333333333","0","2","1","1","2","100.00"
"612","Kyle Criscuolo","DET","C","6","57.083333333333","0","2","1","1","2","100.00"
"635","Tyler Benson","EDM","L","29","242.3","1","1","1","0","2","33.33"
"674","Jacob Moverare","L.A","D","19","278.85","0","2","1","1","2","20.00"
"681","Michal Kempny","WSH","D","15","216.75","1","1","0","1","2","40.00"
"690","Otto Koivula","NYI","L","8","76.466666666667","0","2","1","1","2","66.67"
"704","Jeremy Davies","NSH","D","6","71.8","0","2","1","1","2","100.00"
"722","Juuso Valimaki","CGY","D","9","130.2","0","2","1","1","2","40.00"
"750","Isaac Ratcliffe","PHI","L","10","96.3","1","1","1","0","2","100.00"
"785","Radim Simek","S.J","D","36","457.38333333333","1","1","1","0","2","20.00"
"800","Alexei Toropchenko","STL","R","28","294.38333333333","2","0","0","0","2","33.33"
"806","Sheldon Dries","VAN","C","11","100.58333333333","1","1","1","0","2","50.00"
"811","Trey Fix-Wolansky","CBJ","R","6","37.366666666667","1","1","0","1","2","66.67"
"812","Kristian Reichel","WPG","C","13","132.33333333333","1","1","0","1","2","66.67"
"816","Austin Strand","L.A","D","8","110.7","0","2","1","1","2","50.00"
"818","Kiefer Sherwood","COL","L","11","87.316666666667","1","1","0","1","2","40.00"
"840","Jack Drury","CAR","C","2","28.433333333333","2","0","0","0","2","66.67"
"855","Benoit-Olivier Groulx","ANA","C","18","164.26666666667","0","2","1","1","2","50.00"
"858","Nils Lundkvist","NYR","D","25","309.36666666667","0","2","1","1","2","15.38"
"870","Riley Damiani","DAL","C","7","56.316666666667","1","1","1","0","2","100.00"
"876","Paul Cotter","VGK","C","7","60.483333333333","2","0","0","0","2","66.67"
"878","Scott Perunovich","STL","D","19","240.23333333333","0","2","1","1","2","20.00"
"892","Taro Hirose","DET","L","15","134.08333333333","0","2","1","1","2","40.00"
"910","Nikita Okhotiuk","N.J","D","5","74.016666666667","1","1","0","1","2","66.67"
"922","Alex Vlasic","CHI","D","15","203.56666666667","1","1","1","0","2","22.22"
"944","Santeri Hatakka","S.J","D","9","109.71666666667","0","2","1","1","2","50.00"
"946","Zac Jones","NYR","D","12","168.73333333333","0","2","0","2","2","66.67"
"962","Jake Neighbours","STL","L","9","79.366666666667","1","1","1","0","2","66.67"
"967","Justin Barron","COL, MTL","D","7","101.61666666667","1","1","0","1","2","40.00"
"989","Mike Hardman","CHI","L","21","188.05","0","2","1","1","2","40.00"
"990","Matt Kiersted","FLA","D","10","130.98333333333","1","1","1","0","2","50.00"
"999","Mason McTavish","ANA","C","9","96.883333333333","2","0","0","0","2","40.00"
"1003","Nick Blankenburg","CBJ","D","7","109.66666666667","0","2","0","2","2","100.00"
"24","Blake Comeau","DAL","L","6","61.966666666667","1","0","0","0","1","50.00"
"203","Brett Connolly","CHI","R","9","68.6","0","1","1","0","1","100.00"
"207","Jarred Tinordi","NYR","D","7","87.333333333333","1","0","0","0","1","100.00"
"221","Matthew Peca","STL","C","5","46.966666666667","0","1","0","1","1","inf"
"226","Josh Archibald","EDM","R","8","59.916666666667","0","1","1","0","1","50.00"
"235","Joseph Cramarossa","MIN","C","1","6.9166666666667","0","1","0","1","1","100.00"
"242","Andy Andreoff","NYI","C","6","58.583333333333","1","0","0","0","1","100.00"
"250","Dmitrij Jaskin","ARI","R","12","154.21666666667","0","1","1","0","1","25.00"
"257","Scott Harrington","CBJ","D","7","91.466666666667","0","1","0","1","1","50.00"
"335","Gemel Smith","DET","C","3","20.116666666667","0","1","0","1","1","100.00"
"340","Danny O'Regan","ANA","C","5","50.283333333333","0","1","1","0","1","100.00"
"343","Petteri Lindbohm","FLA","D","9","123.13333333333","0","1","0","1","1","20.00"
"386","Ben Harpur","NSH","D","19","233.85","0","1","0","1","1","25.00"
"398","Nic Petan","VAN","C","18","169.03333333333","0","1","1","0","1","50.00"
"487","Clark Bishop","OTT","C","9","72.65","0","1","0","1","1","100.00"
"496","Dylan Sikura","COL","C","5","47.133333333333","0","1","1","0","1","50.00"
"503","Bokondji Imama","ARI","L","4","17.45","1","0","0","0","1","50.00"
"536","Cooper Marody","EDM","C","1","5.8833333333333","0","1","1","0","1","100.00"
"563","Jacob Larsson","ANA","D","6","89.25","0","1","0","1","1","50.00"
"580","Lukas Vejdemo","MTL","C","6","48.866666666667","1","0","0","0","1","100.00"
"583","Christian Wolanin","BUF, L.A","D","9","117.65","0","1","1","0","1","33.33"
"597","Markus Nutivaara","FLA","D","1","6.85","0","1","1","0","1","100.00"
"609","Ethan Prow","BUF","D","4","46.016666666667","1","0","0","0","1","33.33"
"618","Lucas Johansen","WSH","D","1","11.316666666667","0","1","1","0","1","100.00"
"624","Libor Hajek","NYR","D","17","214.61666666667","0","1","0","1","1","25.00"
"628","Markus Niemelainen","EDM","D","20","231.08333333333","0","1","0","1","1","16.67"
"641","Beck Malenstyn","WSH","L","12","99.65","1","0","0","0","1","20.00"
"642","Riley Tufte","DAL","L","10","70.083333333333","1","0","0","0","1","50.00"
"683","Kasper Bjorkqvist","PIT","R","6","43.7","1","0","0","0","1","100.00"
